time_s,uav_id,cluster_id,sinr_db,jammed,drop_prob
188,11,2,12.0017,0,0.000360691
188,12,2,15.5415,0,1.66489e-08
188,13,2,23.1804,0,6.84428e-46
188,14,2,27.8953,0,1.78716e-134
190,0,0,20.6012,0,1.15138e-25
190,1,0,27.0376,0,1.67151e-110
190,2,0,27.0036,0,1.19643e-109
190,3,0,20.5306,0,2.90766e-25
190,4,0,13.5697,0,1.14816e-05
190,5,1,12.5208,0,0.000131808
190,6,1,18.3483,0,1.42888e-15
190,7,1,25.6943,0,2.68095e-81
190,8,1,27.805,0,1.0113e-131
190,9,1,22.7398,0,1.55816e-41
190,10,2,15.1557,0,7.63102e-08
190,11,2,12.0254,0,0.000345376
190,12,2,16.2269,0,7.79074e-10
190,13,2,23.8974,0,5.35331e-54
190,14,2,27.9847,0,2.96868e-137
192,0,0,21.3946,0,1.15474e-30
192,1,0,27.3822,0,1.43454e-119
192,2,0,26.5826,0,1.38286e-99
192,3,0,19.731,0,3.88504e-21
192,4,0,13.1267,0,3.46e-05
192,5,1,12.8417,0,6.64435e-05
192,6,1,19.138,0,1.56536e-18
192,7,1,26.2268,0,8.26576e-92
192,8,1,27.5908,0,2.04405e-125
192,9,1,21.9758,0,5.96767e-35
192,10,2,14.5443,0,6.56486e-07
192,11,2,12.1287,0,0.000285034
192,12,2,16.95,0,1.74359e-11
192,13,2,24.5754,0,5.34207e-63
192,14,2,27.9942,0,1.4858e-137
194,0,0,22.1741,0,1.5029e-36
194,1,0,27.6531,0,3.22265e-127
194,2,0,26.0959,0,4.1938e-89
194,3,0,18.9341,0,1.02557e-17
194,4,0,12.7524,0,8.08133e-05
194,5,1,13.234,0,2.67588e-05
194,6,1,19.9363,0,3.99465e-22
194,7,1,26.6971,0,3.15939e-102
194,8,1,27.3007,0,2.32978e-117
194,9,1,21.192,0,2.67394e-29
194,10,2,13.9874,0,3.64161e-06
194,11,2,12.3108,0,0.000200977
194,12,2,17.7036,0,1.59544e-13
194,13,2,25.2077,0,9.29432e-73
194,14,2,27.9239,0,2.34275e-135
196,0,0,22.9318,0,2.22933e-43
196,1,0,27.8475,0,5.21464e-133
196,2,0,25.5482,0,1.23987e-78
196,3,0,18.1479,0,6.6717e-15
196,4,0,12.4504,0,0.000152172
196,5,1,13.694,0,8.25314e-06
196,6,1,20.7353,0,1.90317e-26
196,7,1,27.1005,0,4.1669e-112
196,8,1,26.9376,0,5.25616e-108
196,9,1,20.3963,0,1.62419e-24
196,10,2,13.4906,0,1.40987e-05
196,11,2,12.5696,0,0.000119151
196,12,2,18.4801,0,4.98206e-16
196,13,2,25.788,0,4.6937e-83
196,14,2,27.7744,0,8.41838e-131
198,0,0,23.6603,0,3.62307e-51
198,1,0,27.9635,0,1.36879e-136
198,2,0,24.9451,0,1.56546e-68
198,3,0,17.3802,0,1.32172e-12
198,4,0,12.2239,0,0.000237866
198,5,1,14.2169,0,1.84549e-06
198,6,1,21.5269,0,1.3702e-31
198,7,1,27.433,0,5.7377e-121
198,8,1,26.5053,0,7.69858e-98
198,9,1,19.5966,0,1.62686e-20
198,10,2,13.0588,0,4.05729e-05
198,11,2,12.9027,0,5.79822e-05
198,12,2,19.2718,0,4.33817e-19
198,13,2,26.3104,0,1.40488e-93
198,14,2,27.5472,0,3.58453e-124
200,0,0,24.3522,0,7.04302e-60
200,1,0,27.9999,0,9.81353e-138
200,2,0,24.2926,0,4.50599e-59
200,3,0,16.6387,0,9.67605e-11
